ref,algae,pfas,carbon_n,removal_pct,time_h,norm_rate_pct_per_h,source
1,Chlorella sorokiniana,PFOA,8,37,336,0.110,NI2026 Fig6 (Bah 2022 thesis)
1,Chlorella sorokiniana,PFOS,8,20,336,0.060,NI2026 Fig6 (Bah 2022 thesis)
2,Synechocystis sp.,PFOA,8,37,96,0.390,NI2026 Fig6 (Marchetto 2021)
2,Synechocystis sp.,PFOS,8,88,96,0.920,NI2026 Fig6 (Marchetto 2021)
3,Chlorella dry powder,GenX,6,50,,,NI2026 Fig6 (Mantripragada 2023)
4,mixed algae,PFOA,8,1.24,72,0.017,NI2026 Fig6 (Viticoski 2019 ATS)
4,mixed algae,PFOS,8,1.21,72,0.017,NI2026 Fig6 (Viticoski 2019 ATS)
4,mixed algae,GenX,6,0.26,72,0.004,NI2026 Fig6 (Viticoski 2019 ATS)
4,mixed algae,PFDHA,5,0.76,72,0.011,NI2026 Fig6 (Viticoski 2019 ATS)
5,Chlamydomonas reinhardtii,PFOA,8,26.9,192,0.140,NI2026 Fig6 (Hu 2014)
5,Scenedesmus obliquus,PFOA,8,23.3,192,0.121,NI2026 Fig6 (Hu 2014)
6,Chlorella vulgaris,PFOA,8,53,336,0.158,NI2026 Fig6 (Ha 2025)
6,Scenedesmus quadricauda,PFOA,8,58.2,336,0.173,NI2026 Fig6 (Ha 2025)
6,Arthrospira platensis,PFOA,8,51.8,336,0.154,NI2026 Fig6 (Ha 2025)
6,Ankistrodesmus gracilis,PFOA,8,46,336,0.137,NI2026 Fig6 (Ha 2025)
7,unidentified freshwater algae,PFBA,4,3.64,240,0.015,NI2026 Fig6 (Yun 2025)
7,unidentified freshwater algae,PFOA,8,8.47,240,0.035,NI2026 Fig6 (Yun 2025)
7,unidentified freshwater algae,PFNA,9,50.91,240,0.212,NI2026 Fig6 (Yun 2025)
7,unidentified freshwater algae,PFDA,10,80.49,240,0.335,NI2026 Fig6 (Yun 2025)
7,unidentified freshwater algae,PFUnA,11,88.24,240,0.368,NI2026 Fig6 (Yun 2025)
7,unidentified freshwater algae,PFOS,8,52.38,240,0.218,NI2026 Fig6 (Yun 2025)
8,Chlorella sp.,PFOA,8,2.43,168,0.014,NI2026 Fig6 (Mao 2023)
8,Chlorella sp.,PFOS,8,2.98,168,0.018,NI2026 Fig6 (Mao 2023)
this work,Chlorella sp.,PFBA,4,0,1.6,0,NI2026 Fig6
this work,Chlorella sp.,PFOA,8,0,1.6,0,NI2026 Fig6
this work,Ankistrodesmus falcatus,PFBA,4,10.3,1.6,6.438,NI2026 Fig6 (best; +100ppm FeCl3)
this work,Ankistrodesmus falcatus,PFOA,8,13.9,1.6,8.688,NI2026 Fig6 (best; +1ppm pDADMAC)
